task_name,task_label,job_timestamp,run_id,trial_path,agent,model,reward,pass,explicit_pass,reward_source,started_at,finished_at,num_questions,schema_error_count,critical_errors,failure_categories,trial_number
fda-hard-multisection-synthesis,Multisection synthesis,2026-07-02__18-14-29,eHwzmkS,jobs/2026-07-02__18-14-29/fda-hard-multisection-synthesis__eHwzmkS,terminus-2,gemini/gemini-3.5-flash,0.739583,0,0,jobs/2026-07-02__18-14-29/fda-hard-multisection-synthesis__eHwzmkS/verifier/reward.json,2026-07-02T22:14:31.025268Z,2026-07-02T22:20:36.137080Z,8,0,,incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;incomplete_multisection_synthesis;numeric_dosage_error;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;missed_section_or_citation;missed_section_or_citation;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;missed_section_or_citation;missed_section_or_citation;incomplete_multisection_synthesis;incomplete_multisection_synthesis,1
fda-hard-multisection-synthesis,Multisection synthesis,2026-07-02__19-34-12,LYGG2eU,jobs/2026-07-02__19-34-12/fda-hard-multisection-synthesis__LYGG2eU,terminus-2,gemini/gemini-3.5-flash,0.721302,0,0,jobs/2026-07-02__19-34-12/fda-hard-multisection-synthesis__LYGG2eU/verifier/reward.json,2026-07-02T23:34:13.370947Z,2026-07-02T23:39:11.966642Z,8,0,,incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;incomplete_multisection_synthesis;numeric_dosage_error;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;missed_section_or_citation;missed_section_or_citation;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis,2
fda-hard-multisection-synthesis,Multisection synthesis,2026-07-02__20-07-41,KinvK49,jobs/2026-07-02__20-07-41/fda-hard-multisection-synthesis__KinvK49,terminus-2,gemini/gemini-3.5-flash,0.790625,0,0,jobs/2026-07-02__20-07-41/fda-hard-multisection-synthesis__KinvK49/verifier/reward.json,2026-07-03T00:07:43.216567Z,2026-07-03T00:12:20.392149Z,8,0,,incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;incomplete_multisection_synthesis;numeric_dosage_error;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis;incomplete_multisection_synthesis,3
fda-hard-near-miss-refusal,Near-miss refusal,2026-07-02__18-11-52,xj7Vzvw,jobs/2026-07-02__18-11-52/fda-hard-near-miss-refusal__xj7Vzvw,terminus-2,gemini/gemini-3.5-flash,0.908333,1,1,jobs/2026-07-02__18-11-52/fda-hard-near-miss-refusal__xj7Vzvw/verifier/reward.json,2026-07-02T22:11:53.342811Z,2026-07-02T22:14:29.257927Z,6,0,,,1
fda-hard-near-miss-refusal,Near-miss refusal,2026-07-02__19-31-29,m5Usye5,jobs/2026-07-02__19-31-29/fda-hard-near-miss-refusal__m5Usye5,terminus-2,gemini/gemini-3.5-flash,0.891667,1,1,jobs/2026-07-02__19-31-29/fda-hard-near-miss-refusal__m5Usye5/verifier/reward.json,2026-07-02T23:31:29.994603Z,2026-07-02T23:34:11.335126Z,6,0,,,2
fda-hard-near-miss-refusal,Near-miss refusal,2026-07-02__20-04-55,8omc965,jobs/2026-07-02__20-04-55/fda-hard-near-miss-refusal__8omc965,terminus-2,gemini/gemini-3.5-flash,0.891667,1,1,jobs/2026-07-02__20-04-55/fda-hard-near-miss-refusal__8omc965/verifier/reward.json,2026-07-03T00:04:56.916854Z,2026-07-03T00:07:41.168952Z,6,0,,,3
fda-hard-numeric-dosage,Numeric dosage,2026-07-02__18-07-47,iQvWbhA,jobs/2026-07-02__18-07-47/fda-hard-numeric-dosage__iQvWbhA,terminus-2,gemini/gemini-3.5-flash,0.786823,0,0,jobs/2026-07-02__18-07-47/fda-hard-numeric-dosage__iQvWbhA/verifier/reward.json,2026-07-02T22:07:48.256459Z,2026-07-02T22:11:51.567323Z,8,0,wrong_dose;wrong_population;wrong_unit,numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;numeric_dosage_error;unknown;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;numeric_dosage_error;unknown;unknown;unknown;unknown;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;unknown;missed_section_or_citation;missed_section_or_citation;unknown;numeric_dosage_error,1
fda-hard-numeric-dosage,Numeric dosage,2026-07-02__19-25-58,LiXMXER,jobs/2026-07-02__19-25-58/fda-hard-numeric-dosage__LiXMXER,terminus-2,gemini/gemini-3.5-flash,0.781354,0,0,jobs/2026-07-02__19-25-58/fda-hard-numeric-dosage__LiXMXER/verifier/reward.json,2026-07-02T23:25:59.265763Z,2026-07-02T23:31:28.396799Z,8,0,wrong_dose;wrong_population;wrong_unit,numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;numeric_dosage_error;unknown;unknown;numeric_dosage_error;unknown;unknown;unknown;unknown;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;unknown;missed_section_or_citation;missed_section_or_citation;unknown;numeric_dosage_error,2
fda-hard-numeric-dosage,Numeric dosage,2026-07-02__19-59-41,XNTfrCD,jobs/2026-07-02__19-59-41/fda-hard-numeric-dosage__XNTfrCD,terminus-2,gemini/gemini-3.5-flash,0.834687,0,0,jobs/2026-07-02__19-59-41/fda-hard-numeric-dosage__XNTfrCD/verifier/reward.json,2026-07-02T23:59:42.970761Z,2026-07-03T00:04:54.881325Z,8,0,wrong_dose;wrong_population;wrong_unit,numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;unknown;unknown;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;unknown;numeric_dosage_error;unknown;numeric_dosage_error;unknown;numeric_dosage_error;numeric_dosage_error;unknown;unknown;unknown;unknown;numeric_dosage_error;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown,3
fda-hard-warning-citations,Warning citations,2026-07-02__17-25-52,JnKVH9b,jobs/2026-07-02__17-25-52/fda-hard-warning-citations__JnKVH9b,terminus-2,gemini/gemini-3.5-flash,0.000000,0,0,jobs/2026-07-02__17-25-52/fda-hard-warning-citations__JnKVH9b/verifier/reward.json,2026-07-02T21:25:53.836794Z,2026-07-02T21:28:29.476025Z,8,0,,missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;numeric_dosage_error;missed_section_or_citation;unknown;numeric_dosage_error;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown,1
fda-hard-warning-citations,Warning citations,2026-07-02__18-04-16,Aqhe6nF,jobs/2026-07-02__18-04-16/fda-hard-warning-citations__Aqhe6nF,terminus-2,gemini/gemini-3.5-flash,0.760261,0,0,jobs/2026-07-02__18-04-16/fda-hard-warning-citations__Aqhe6nF/verifier/reward.json,2026-07-02T22:04:17.369447Z,2026-07-02T22:07:46.733303Z,8,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown,2
fda-hard-warning-citations,Warning citations,2026-07-02__19-22-17,hqyTKGf,jobs/2026-07-02__19-22-17/fda-hard-warning-citations__hqyTKGf,terminus-2,gemini/gemini-3.5-flash,0.715990,0,0,jobs/2026-07-02__19-22-17/fda-hard-warning-citations__hqyTKGf/verifier/reward.json,2026-07-02T23:22:18.810772Z,2026-07-02T23:25:57.435693Z,8,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown,3
fda-hard-warning-citations,Warning citations,2026-07-02__19-56-28,UBgAL8V,jobs/2026-07-02__19-56-28/fda-hard-warning-citations__UBgAL8V,terminus-2,gemini/gemini-3.5-flash,0.749323,0,0,jobs/2026-07-02__19-56-28/fda-hard-warning-citations__UBgAL8V/verifier/reward.json,2026-07-02T23:56:31.094092Z,2026-07-02T23:59:40.945496Z,8,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;unknown;numeric_dosage_error;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown,4
